,Unnamed: 0,Number,IncidentAddress,Street,Town,State,Zip,IncidentLatitude,IncidentLongitude,Coordinates,BlockGroup
107,90019,2020-00007452,0 East Charlottesville VA 22901,0 East,Charlottesville,VA,22901,38.038293,-78.465904,"(38.038293, -78.465904)",515400003021000
108,91632,2020-00008245,RT 250 WESTBOUND Charlottesville VA 22901,RT 250 WESTBOUND,Charlottesville,VA,22901,38.038293,-78.465904,"(38.038293, -78.465904)",515400003021000
109,92552,2020-00008667,250 Bypass Charlottesville VA 22901,250 Bypass,Charlottesville,VA,22901,38.038293,-78.465904,"(38.038293, -78.465904)",515400003021000
110,94955,2020-00009817,100 250 By Pass Charlottesville VA 22901,100 250 By Pass,Charlottesville,VA,22901,38.038293,-78.465904,"(38.038293, -78.465904)",515400003021000
111,96935,2021-00000350,0 0 Charlottesville VA 22901,0 0,Charlottesville,VA,22901,38.038293,-78.465904,"(38.038293, -78.465904)",515400003021000
112,96952,2021-00000355,250 Bypass Charlottesville VA 22901,250 Bypass,Charlottesville,VA,22901,38.038293,-78.465904,"(38.038293, -78.465904)",515400003021000
113,299,2017-00000146,1517 ROSA Charlottesville VA 22902,1517 ROSA,Charlottesville,VA,22902,38.019231,-78.486343,"(38.019231, -78.486343)",515400004012000
114,301,2017-00000148,1329 Riverdale Charlottesville VA 22902,1329 Riverdale,Charlottesville,VA,22902,38.034629,-78.460671,"(38.034629, -78.460671)",515400003021006
115,833,2017-00000382,1329 riverdale Charlottesville VA 22902,1329 riverdale,Charlottesville,VA,22902,38.034629,-78.460671,"(38.034629, -78.460671)",515400003021006
116,303,2017-00000149,1506 Melbourne Road Charlottesville VA 22901,1506 Melbourne Road,Charlottesville,VA,22901,38.05494,-78.473033,"(38.05494, -78.473033)",515400008002008
117,308,2017-00000150,1522 East MARKET 201 Charlottesville VA 22902,1522 East MARKET 201,Charlottesville,VA,22902,38.023677,-78.462795,"(38.023677, -78.462795)",515400003022017
118,2892,2017-00001369,1522 East MARKET 201 Charlottesville VA 22902,1522 East MARKET 201,Charlottesville,VA,22902,38.023677,-78.462795,"(38.023677, -78.462795)",515400003022017
119,10911,2017-00005543,1522 East Market Charlottesville VA 22902,1522 East Market,Charlottesville,VA,22902,38.023677,-78.462795,"(38.023677, -78.462795)",515400003022017
120,10922,2017-00005546,1522 East Market 201 Charlottesville VA 22902,1522 East Market 201,Charlottesville,VA,22902,38.023677,-78.462795,"(38.023677, -78.462795)",515400003022017
121,310,2017-00000153,454 FARRISH 6 Charlottesville VA 22903,454 FARRISH 6,Charlottesville,VA,22903,38.047535,-78.509978,"(38.047535, -78.509978)",510030109012000
122,64061,2019-00007489,454 FARRISH 4 Charlottesville VA 22903,454 FARRISH 4,Charlottesville,VA,22903,38.047535,-78.509978,"(38.047535, -78.509978)",510030109012000
123,314,2017-00000154,1900 RICHMOND Charlottesville VA 22911,1900 RICHMOND,Charlottesville,VA,22911,38.02348,-78.433745,"(38.02348, -78.433745)",510030105002045
124,315,2017-00000155,1005 1/2 Cherry Avenue Charlottesville VA 22903,1005 1/2 Cherry Avenue,Charlottesville,VA,22903,38.028651,-78.497208,"(38.028651, -78.497208)",515400005012008
125,319,2017-00000157,Holly Road Charlottesville VA 22901,Holly Road,Charlottesville,VA,22901,38.05726,-78.47383,"(38.05726, -78.47383)",515400008002002
126,324,2017-00000159,1506 DealMead Lane B Charlottesville VA 22901,1506 DealMead Lane B,Charlottesville,VA,22901,38.060857,-78.499329,"(38.060857, -78.499329)",515400008004021
127,330,2017-00000163,1635 MERIDIAN B Charlottesville VA 22902,1635 MERIDIAN B,Charlottesville,VA,22902,38.012886,-78.481646,"(38.012886, -78.481646)",515400004024007
128,335,2017-00000164,794 ALDERMAN Charlottesville VA 22903,794 ALDERMAN,Charlottesville,VA,22903,38.030293,-78.51574,"(38.030293, -78.51574)",510030109031003
129,361,2017-00000175,794 ALDERMAN Charlottesville VA 22903,794 ALDERMAN,Charlottesville,VA,22903,38.030293,-78.51574,"(38.030293, -78.51574)",510030109031003
130,19394,2017-00009869,794 ALDERMAN Charlottesville VA 22903,794 ALDERMAN,Charlottesville,VA,22903,38.030293,-78.51574,"(38.030293, -78.51574)",510030109031003
131,25762,2018-00000914,794 ALDERMAN 111 Charlottesville VA 22903,794 ALDERMAN 111,Charlottesville,VA,22903,38.030293,-78.51574,"(38.030293, -78.51574)",510030109031003
